,brand_en,certain,check
1133,moroccanoil,[],0
1134,joroma,[],0
1135,wafood made,[],0
1136,indocafe,[],0
1137,dayneeds,[],0
1138,merphil,[],0
1139,ecowipes,[],0
1140,piacelli,[],0
1141,rub lom,[],0
1142,amadana,[],0
1143,elujai,[],0
1144,healthlife,[],0
1145,downy,[],0
1146,morphe,[],0
1147,homer,[],0
1148,ok choice,[],0
1149,weg,[],0
1150,cosmetex roland,[],0
1151,feso,[],0
1152,greenwood,[],0
1153,swanson,[],0
1154,vital essentials,[],0
1155,lb tokyo,[],0
1156,bh,[],0
1157,babymoov,[],0
1158,i'm from,[],0
1159,formosa,[],0
1160,waiz,[],0
1161,dibote,[],0
1162,mon,[],0
1163,lilfant,[],0
1164,sohome,[],0
1165,scentio,[],0
1166,prreti,[],0
1167,duke,[],0
1168,ems,[],0
1169,swissdent,[],0
1170,staresso,[],0
1171,teptip,[],0
1172,kidol,[],0
1173,abba,[],0
1174,chefrun,[],0
1175,tcrd,[],0
1176,milk&co,[],0
1177,unimat riken,[],0
1178,jung saem mool,[],0
1179,omg,[],0
1180,herbal care,[],0
1181,ivory,[],0
1182,insight,[],0
1183,dermacol,[],0
1184,queen chef,[],0
1185,skincure,[],0
1186,kamome,[],0
1187,merrell,[],0
1188,zoobies,[],0
1189,essenso,[],0
1190,new anna,[],0
1191,flavour,[],0
1192,a star,[],0
1193,hito,[],0
1194,j.hannah,[],0
1195,qiu wen,[],0
1196,tribo coffee,[],0
1197,arex sport,[],0
1198,bare for bare,[],0
1199,bonton,[],0
1200,dairy farmers,[],0
1201,osuma,[],0
1202,byfunme,[],0
1203,by terry,[],0
1204,chin su,[],0
1205,probox,[],0
1206,rcma,[],0
1207,north field,[],0
1208,5mins shaper pro,[],0
1209,glolux,[],0
1210,indofood,[],0
1211,oshimon,[],0
1212,super love,[],0
1213,omax,[],0
1214,the retinotime,[],0
1215,k'anho,[],0
1216,afc,[],0
1217,snails,[],0
1218,ptnano,[],0
1219,flawless,[],0
1220,skin biotheory,[],0
1221,erh,[],0
1222,mamalove,[],0
1223,golden,[],0
1224,solvallee,[],0
1225,be quiet,[],0
1226,vitakraft,[],0
1227,pettyman,[],0
1228,evolution,[],0
1229,benks,[],0
1230,lafe’s,[],0
1231,edeka,[],0
1232,thai,[],0
1233,cp-1,[],0
1234,nomama,[],0
1235,navalli hill,[],0
1236,osmile,[],0
1237,ediya,[],0
1238,wychwood brewery,[],0
1239,agoy,[],0
1240,sea to summit,[],0
1241,nac,[],0
1242,mizon,[],0
1243,ghr,[],0
1244,lubriderm,[],0
1245,ahoye,[],0
1246,stemcin,[],0
1247,hojo,[],0
1248,instant pot,[],0
1249,washaml,[],0
1250,pinpai,[],0
1251,vt,[],0
1252,evas,[],0
1253,smith's rosebud salve,[],0
1254,van pur,[],0
1255,sweep robot,[],0
1256,malibu beauty,[],0
1257,s.pellegrino,[],0
1258,plantur,"['plantur 21', 'plantur 39']",0
