,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
125,喵洽普,plan cat,plan cat喵洽普,['喵洽普'],0,[],0
126,芯之麗,sublimic,sublimic芯之麗,[],0,[],0
127,牙醫選,dentiste',dentiste'牙醫選,[],0,[],0
128,貓皇族,king wang,king wang貓皇族,[],0,[],0
129,易生絲,essehair,essehair易生絲,[],0,[],0
130,清水,shimizu,shimizu清水,[],0,[],0
131,歐舒丹,l'occitane,l'occitane歐舒丹,['歐舒丹'],0,[],0
132,荷蘭公主,princess,princess荷蘭公主,['荷蘭公主'],0,[],0
133,特緹斯,twistix,twistix特緹斯,[],0,"[('twist', 83)]",0
134,施華蔻,schwarzkopf,schwarzkopf施華蔻,[],0,[],0
135,歌林,kolin,kolin歌林,['歌林'],0,[],0
136,瑪宣妮,macherie,macherie瑪宣妮,['瑪宣妮'],0,[],0
137,耀,eau,eau耀,[],0,[],0
138,亨式,heinz,heinz亨式,[],0,[],0
139,韓國,422inc,422inc韓國,[],0,[],0
140,健康主義,ghr,ghr健康主義,[],0,"[('ghr', 100)]",0
141,惠而浦,whirlpool,whirlpool惠而浦,['惠而浦'],0,[],0
142,膚蕊,freshel,freshel膚蕊,[],0,[],0
143,健康紀元,healthy era,healthy era健康紀元,[],0,[],0
144,亞瑟士,asics,asics亞瑟士,[],0,[],0
145,統一,ab,ab統一,['統一'],1,"[('abc', 80)]",0
146,艾杜紗,ettusais,ettusais艾杜紗,[],0,[],0
147,博朗氏,balance,balance博朗氏,['博朗氏'],0,"[('b balance', 88)]",0
148,愛樂薇,elle & vire,elle & vire愛樂薇,[],0,[],0
149,芭比波朗,bobbi brown,bobbi brown芭比波朗,[],0,[],0
150,高絲-專櫃,kose,kose高絲-專櫃,[],0,[],1
151,岩谷,iwatani,iwatani岩谷,[],0,[],0
152,戀愛魔鏡,majolica majorca,majolica majorca戀愛魔鏡,[],0,[],0
153,飛想茶,fuze tea,fuze tea飛想茶,[],0,[],0
154,原點,instinct,instinct原點,[],0,[],0
155,雷馬,lexma,lexma雷馬,[],0,[],0
156,樂迪,ld,ld樂迪,[],0,[],0
